2017-09-22 16:15:53 startup packages purge
2017-09-22 16:15:53 status installed linux-virtual:amd64 4.4.0.96.101
2017-09-22 16:15:53 remove linux-virtual:amd64 4.4.0.96.101 <none>
2017-09-22 16:15:53 status half-configured linux-virtual:amd64 4.4.0.96.101
2017-09-22 16:15:53 status half-installed linux-virtual:amd64 4.4.0.96.101
2017-09-22 16:15:53 status config-files linux-virtual:amd64 4.4.0.96.101
2017-09-22 16:15:53 status config-files linux-virtual:amd64 4.4.0.96.101
2017-09-22 16:15:53 status config-files linux-virtual:amd64 4.4.0.96.101
2017-09-22 16:15:53 status not-installed linux-virtual:amd64 <none>
2017-09-22 16:15:53 status installed linux-headers-virtual:amd64 4.4.0.96.101
2017-09-22 16:15:53 remove linux-headers-virtual:amd64 4.4.0.96.101 <none>
2017-09-22 16:15:53 status half-configured linux-headers-virtual:amd64 4.4.0.96.101
2017-09-22 16:15:53 status half-installed linux-headers-virtual:amd64 4.4.0.96.101
2017-09-22 16:15:53 status config-files linux-headers-virtual:amd64 4.4.0.96.101
2017-09-22 16:15:53 status config-files linux-headers-virtual:amd64 4.4.0.96.101
2017-09-22 16:15:53 status config-files linux-headers-virtual:amd64 4.4.0.96.101
2017-09-22 16:15:53 status not-installed linux-headers-virtual:amd64 <none>
2017-09-22 16:15:53 status installed linux-headers-generic:amd64 4.4.0.96.101
2017-09-22 16:15:53 remove linux-headers-generic:amd64 4.4.0.96.101 <none>
2017-09-22 16:15:53 status half-configured linux-headers-generic:amd64 4.4.0.96.101
2017-09-22 16:15:53 status half-installed linux-headers-generic:amd64 4.4.0.96.101
2017-09-22 16:15:53 status config-files linux-headers-generic:amd64 4.4.0.96.101
2017-09-22 16:15:53 status config-files linux-headers-generic:amd64 4.4.0.96.101
2017-09-22 16:15:53 status config-files linux-headers-generic:amd64 4.4.0.96.101
2017-09-22 16:15:53 status not-installed linux-headers-generic:amd64 <none>
2017-09-22 16:15:53 status installed linux-headers-4.4.0-96-generic:amd64 4.4.0-96.119
2017-09-22 16:15:53 remove linux-headers-4.4.0-96-generic:amd64 4.4.0-96.119 <none>
2017-09-22 16:15:53 status half-configured linux-headers-4.4.0-96-generic:amd64 4.4.0-96.119
2017-09-22 16:15:53 status half-installed linux-headers-4.4.0-96-generic:amd64 4.4.0-96.119
2017-09-22 16:15:53 status config-files linux-headers-4.4.0-96-generic:amd64 4.4.0-96.119
2017-09-22 16:15:53 status config-files linux-headers-4.4.0-96-generic:amd64 4.4.0-96.119
2017-09-22 16:15:53 status config-files linux-headers-4.4.0-96-generic:amd64 4.4.0-96.119
2017-09-22 16:15:53 status not-installed linux-headers-4.4.0-96-generic:amd64 <none>
2017-09-22 16:15:53 status installed linux-headers-4.4.0-96:all 4.4.0-96.119
2017-09-22 16:15:53 remove linux-headers-4.4.0-96:all 4.4.0-96.119 <none>
2017-09-22 16:15:53 status half-configured linux-headers-4.4.0-96:all 4.4.0-96.119
2017-09-22 16:15:53 status half-installed linux-headers-4.4.0-96:all 4.4.0-96.119
2017-09-22 16:15:54 status config-files linux-headers-4.4.0-96:all 4.4.0-96.119
2017-09-22 16:15:54 status config-files linux-headers-4.4.0-96:all 4.4.0-96.119
2017-09-22 16:15:54 status config-files linux-headers-4.4.0-96:all 4.4.0-96.119
2017-09-22 16:15:54 status not-installed linux-headers-4.4.0-96:all <none>
2017-09-22 16:15:54 status installed linux-image-virtual:amd64 4.4.0.96.101
2017-09-22 16:15:54 remove linux-image-virtual:amd64 4.4.0.96.101 <none>
2017-09-22 16:15:54 status half-configured linux-image-virtual:amd64 4.4.0.96.101
2017-09-22 16:15:54 status half-installed linux-image-virtual:amd64 4.4.0.96.101
2017-09-22 16:15:54 status config-files linux-image-virtual:amd64 4.4.0.96.101
2017-09-22 16:15:54 status config-files linux-image-virtual:amd64 4.4.0.96.101
2017-09-22 16:15:54 status config-files linux-image-virtual:amd64 4.4.0.96.101
2017-09-22 16:15:54 status not-installed linux-image-virtual:amd64 <none>
2017-09-22 16:15:54 status installed linux-image-4.4.0-96-generic:amd64 4.4.0-96.119
2017-09-22 16:15:54 remove linux-image-4.4.0-96-generic:amd64 4.4.0-96.119 <none>
2017-09-22 16:15:54 status half-configured linux-image-4.4.0-96-generic:amd64 4.4.0-96.119
2017-09-22 16:15:54 status half-installed linux-image-4.4.0-96-generic:amd64 4.4.0-96.119
2017-09-22 16:15:54 status config-files linux-image-4.4.0-96-generic:amd64 4.4.0-96.119
2017-09-22 16:15:54 purge linux-image-4.4.0-96-generic:amd64 4.4.0-96.119 <none>
2017-09-22 16:15:54 status config-files linux-image-4.4.0-96-generic:amd64 4.4.0-96.119
2017-09-22 16:15:54 status config-files linux-image-4.4.0-96-generic:amd64 4.4.0-96.119
2017-09-22 16:15:54 status config-files linux-image-4.4.0-96-generic:amd64 4.4.0-96.119
2017-09-22 16:15:54 status config-files linux-image-4.4.0-96-generic:amd64 4.4.0-96.119
2017-09-22 16:15:54 status config-files linux-image-4.4.0-96-generic:amd64 4.4.0-96.119
2017-09-22 16:15:54 status not-installed linux-image-4.4.0-96-generic:amd64 <none>
2017-09-22 16:15:54 startup packages configure
2017-09-22 16:15:55 startup packages purge
2017-09-22 16:15:55 status installed os-prober:amd64 1.70ubuntu3.3
2017-09-22 16:15:55 remove os-prober:amd64 1.70ubuntu3.3 <none>
2017-09-22 16:15:55 status half-configured os-prober:amd64 1.70ubuntu3.3
2017-09-22 16:15:55 status half-installed os-prober:amd64 1.70ubuntu3.3
2017-09-22 16:15:55 status config-files os-prober:amd64 1.70ubuntu3.3
2017-09-22 16:15:55 status config-files os-prober:amd64 1.70ubuntu3.3
2017-09-22 16:15:55 status config-files os-prober:amd64 1.70ubuntu3.3
2017-09-22 16:15:55 status not-installed os-prober:amd64 <none>
2017-09-22 16:15:55 status installed grub-gfxpayload-lists:amd64 0.7
2017-09-22 16:15:55 status installed grub-pc:amd64 2.02~beta2-36ubuntu3.12
2017-09-22 16:15:55 status installed grub2-common:amd64 2.02~beta2-36ubuntu3.12
2017-09-22 16:15:55 status installed grub-common:amd64 2.02~beta2-36ubuntu3.12
2017-09-22 16:15:55 status installed ubuntu-server:amd64 1.361
2017-09-22 16:15:55 remove ubuntu-server:amd64 1.361 <none>
2017-09-22 16:15:55 status half-configured ubuntu-server:amd64 1.361
2017-09-22 16:15:55 status half-installed ubuntu-server:amd64 1.361
2017-09-22 16:15:55 status config-files ubuntu-server:amd64 1.361
2017-09-22 16:15:55 status config-files ubuntu-server:amd64 1.361
2017-09-22 16:15:55 status config-files ubuntu-server:amd64 1.361
2017-09-22 16:15:55 status not-installed ubuntu-server:amd64 <none>
2017-09-22 16:15:55 status installed grub-legacy-ec2:all 0.7.9-233-ge586fe35-0ubuntu1~16.04.1
2017-09-22 16:15:55 remove grub-legacy-ec2:all 0.7.9-233-ge586fe35-0ubuntu1~16.04.1 <none>
2017-09-22 16:15:55 status half-configured grub-legacy-ec2:all 0.7.9-233-ge586fe35-0ubuntu1~16.04.1
2017-09-22 16:15:55 status half-installed grub-legacy-ec2:all 0.7.9-233-ge586fe35-0ubuntu1~16.04.1
2017-09-22 16:15:55 status config-files grub-legacy-ec2:all 0.7.9-233-ge586fe35-0ubuntu1~16.04.1
2017-09-22 16:15:55 purge grub-legacy-ec2:all 0.7.9-233-ge586fe35-0ubuntu1~16.04.1 <none>
2017-09-22 16:15:55 status config-files grub-legacy-ec2:all 0.7.9-233-ge586fe35-0ubuntu1~16.04.1
2017-09-22 16:15:55 status config-files grub-legacy-ec2:all 0.7.9-233-ge586fe35-0ubuntu1~16.04.1
2017-09-22 16:15:55 status config-files grub-legacy-ec2:all 0.7.9-233-ge586fe35-0ubuntu1~16.04.1
2017-09-22 16:15:56 status config-files grub-legacy-ec2:all 0.7.9-233-ge586fe35-0ubuntu1~16.04.1
2017-09-22 16:15:56 status config-files grub-legacy-ec2:all 0.7.9-233-ge586fe35-0ubuntu1~16.04.1
2017-09-22 16:15:56 status not-installed grub-legacy-ec2:all <none>
2017-09-22 16:15:56 status installed grub-pc-bin:amd64 2.02~beta2-36ubuntu3.12
2017-09-22 16:15:56 status installed grub-gfxpayload-lists:amd64 0.7
2017-09-22 16:15:56 status installed grub-pc:amd64 2.02~beta2-36ubuntu3.12
2017-09-22 16:15:56 status installed grub2-common:amd64 2.02~beta2-36ubuntu3.12
2017-09-22 16:15:56 status installed grub-common:amd64 2.02~beta2-36ubuntu3.12
2017-09-22 16:15:56 status installed grub-pc-bin:amd64 2.02~beta2-36ubuntu3.12
2017-09-22 16:15:56 status installed grub-gfxpayload-lists:amd64 0.7
2017-09-22 16:15:56 status installed grub-pc:amd64 2.02~beta2-36ubuntu3.12
2017-09-22 16:15:56 status installed grub2-common:amd64 2.02~beta2-36ubuntu3.12
